"Numéro CAS";"Nom SA";"Propriété";"Valeur";"Unité";"Température";"PH";"Observation"
"2545-60-0";"piclorame : sel de potassium";"Solubilité dans l'eau";"";"";;"";""
"6753-47-5";"piclorame sel d'isopropylamine";"pka";"1,9";"";;"";""
"6753-47-5";"piclorame sel d'isopropylamine";"pka";"4";"";;"";""
"137641-05-5";"picolinafen";"Constante de Henry";"1.6x10^-3";"Pa.m3/mol";20;"";""
"137641-05-5";"picolinafen";"Log P";"5,36";"";20;"5";""
"137641-05-5";"picolinafen";"Log P";"5,36";"";20;"9";""
"137641-05-5";"picolinafen";"Log P";"5,43";"";20;"7";""
"137641-05-5";"picolinafen";"pka";"";"";;"";""
"137641-05-5";"picolinafen";"Pression de vapeur";"1.7x10^-7";"Pa";20;"";""
"137641-05-5";"picolinafen";"Solubilité dans l'eau";"4,7x10^-5";"g/L";20;"7";""
"137641-05-5";"picolinafen";"Solubilité dans l'eau";"3,8x10^-5";"g/L";20;"9";""
"137641-05-5";"picolinafen";"Solubilité dans l'eau";"3,8x10^-5";"g/L";20;"5";""
"243973-20-8";"pinoxaden";"Constante de Henry";"9.2  x 10^-7";"Pa.m3/mol";25;"";""
"243973-20-8";"pinoxaden";"Log P";"3,2";"";25;"";""
"243973-20-8";"pinoxaden";"pka";"";"";;"";""
"243973-20-8";"pinoxaden";"Pression de vapeur";"2.0  x 10^-7";"Pa";20;"";""
"243973-20-8";"pinoxaden";"Pression de vapeur";"4.6 x 10^-7";"Pa";25;"";""
"243973-20-8";"pinoxaden";"Solubilité dans l'eau";"200";"mg/L";25;"";""
"51-03-6";"piperonyl butoxide";"Constante de Henry";"1.648*10^-4";"Pa.m3/mol";25;"";""
"51-03-6";"piperonyl butoxide";"Log P";"4,8";"";20;"6,5";""
"51-03-6";"piperonyl butoxide";"Pression de vapeur";"2.11*10^-5";"Pa";60;"";""
"51-03-6";"piperonyl butoxide";"Pression de vapeur";"<1.33*10^-5";"Pa";25;"";""
"51-03-6";"piperonyl butoxide";"Solubilité dans l'eau";"28.9";"mg/L";20,399999999999999;"7,01";""
"51-03-6";"piperonyl butoxide";"Solubilité dans l'eau";"30.5";"mg/L";20,399999999999999;"8,86";""
"51-03-6";"piperonyl butoxide";"Solubilité dans l'eau";"36.1";"mg/L";8,4000000000000004;"7,04";""
"51-03-6";"piperonyl butoxide";"Solubilité dans l'eau";"23.1";"mg/L";33,399999999999999;"7,02";""
"51-03-6";"piperonyl butoxide";"Solubilité dans l'eau";"30.7";"mg/L";20,399999999999999;"4,06";""
"51-03-6";"piperonyl butoxide";"Solubilité dans l'eau";"32.8";"mg/L";20,399999999999999;"6,12";""
"13977-65-6  13492-26-7";"potassium phosphonates";"pka";"2";"";;"";""
"13977-65-6  13492-26-7";"potassium phosphonates";"pka";"6,59";"";;"";""
"13977-65-6  13492-26-7";"potassium phosphonates";"Solubilité dans l'eau";"0";"g/L";;"";""
"67747-09-5";"prochloraz";"Constante de Henry";"1,64x10^-3";"Pa.m3/mol";;"";""
"67747-09-5";"prochloraz";"Log P";"3,5";"";25;"4,3";""
"67747-09-5";"prochloraz";"Log P";"3,52";"";25;"7,8";""
"67747-09-5";"prochloraz";"Log P";"3,53";"";25;"6,7";""
"67747-09-5";"prochloraz";"Log P";"4,3";"";23;"4";""
"67747-09-5";"prochloraz";"Log P";"4,3";"";23;"7";""
"67747-09-5";"prochloraz";"Log P";"4,4";"";23;"9";""
"67747-09-5";"prochloraz";"pka";"3,8";"";20;"";""
"67747-09-5";"prochloraz";"Pression de vapeur";"0,15";"mPa";25;"";""
"67747-09-5";"prochloraz";"Solubilité dans l'eau";"24,9";"mg/L";20;"7";""
"67747-09-5";"prochloraz";"Solubilité dans l'eau";"26.5";"mg/L";20;"";""
"67747-09-5";"prochloraz";"Solubilité dans l'eau";"27,6";"mg/L";20;"5";""
"67747-09-5";"prochloraz";"Solubilité dans l'eau";"34,4";"mg/L";25;"7";""
"67747-09-5";"prochloraz";"Solubilité dans l'eau";"23,6";"mg/L";20;"9";""
"127277-53-6";"prohexadione-calcium";"Constante de Henry";"1.92x10^-5";"Pa.m3/mol";;"";""
"127277-53-6";"prohexadione-calcium";"Log P";"-2,9";"";20;"7";""
"127277-53-6";"prohexadione-calcium";"pka";"5,15";"";;"";""
"127277-53-6";"prohexadione-calcium";"Pression de vapeur";"1.335x10^-5";"Pa";20;"";""
"127277-53-6";"prohexadione-calcium";"Pression de vapeur";"1.737x10^-5";"Pa";20;"";""
"127277-53-6";"prohexadione-calcium";"Solubilité dans l'eau";"786";"mg/L";20;"7";""
"127277-53-6";"prohexadione-calcium";"Solubilité dans l'eau";"665";"mg/L";20;"9";""
"127277-53-6";"prohexadione-calcium";"Solubilité dans l'eau";"174";"mg/L";20;"6,5";""
"127277-53-6";"prohexadione-calcium";"Solubilité dans l'eau";"1602";"mg/L";20;"5";""
"24579-73-5";"propamocarbe";"Constante de Henry";"8.5x10^-9";"Pa.m3/mol";;"";""
"24579-73-5";"propamocarbe";"Log P";"0,67";"";;"9";""
"24579-73-5";"propamocarbe";"Log P";"0,32";"";;"9";""
"24579-73-5";"propamocarbe";"Log P";"-1,4";"";;"7";""
"24579-73-5";"propamocarbe";"Log P";"-2,9";"";;"2";""
"24579-73-5";"propamocarbe";"Log P";"-0,98";"";;"2";""
"24579-73-5";"propamocarbe";"Log P";"-1,2";"";;"7";""
"24579-73-5";"propamocarbe";"pka";"9,6";"";20;"";""
"24579-73-5";"propamocarbe";"Pression de vapeur";"1.66x10^-3";"Pa";25;"";""
"24579-73-5";"propamocarbe";"Solubilité dans l'eau";">850";"g/L";20;"7";""
"24579-73-5";"propamocarbe";"Solubilité dans l'eau";">850";"g/L";20;"3";""
"24579-73-5";"propamocarbe";"Solubilité dans l'eau";">500";"g/L";20;"9,6";""
"111479-05-1";"propaquizafop";"Constante de Henry";"9,2x10^-8";"Pa.m3/mol";20;"";""
"111479-05-1";"propaquizafop";"Log P";"4,8";"";25;"";""
"111479-05-1";"propaquizafop";"pka";"-2,3";"";;"";""
"111479-05-1";"propaquizafop";"Pression de vapeur";"4,395x10^-10";"Pa";25;"";""
"111479-05-1";"propaquizafop";"Solubilité dans l'eau";"0.63";"mg/L";20;"";""
"181274-15-7";"propoxycarbazone";"Constante de Henry";"<1x10^-10";"Pa.m3/mol";20;"";""
"181274-15-7";"propoxycarbazone";"Log P";"-1,55";"";;"7";""
"181274-15-7";"propoxycarbazone";"Log P";"-1,59";"";;"9";""
"181274-15-7";"propoxycarbazone";"Log P";"-0,3";"";;"4";""
"181274-15-7";"propoxycarbazone";"pka";"+2,1";"";;"";""
"181274-15-7";"propoxycarbazone";"Pression de vapeur";"<1x10^-8";"Pa";20;"";""
"181274-15-7";"propoxycarbazone";"Solubilité dans l'eau";"42";"g/L";;"8,8";""
"23950-58-5";"propyzamide";"Constante de Henry";"7.52x10^-9";"Pa.m3/mol";20;"";""
"23950-58-5";"propyzamide";"Log P";"3,27";"";25;"7";""
"23950-58-5";"propyzamide";"pka";"10,38";"";;"";""
"23950-58-5";"propyzamide";"Pression de vapeur";"3,48x10^-4";"Pa";35;"";""
"23950-58-5";"propyzamide";"Pression de vapeur";"5,80x10^-5";"Pa";25;"";""
"23950-58-5";"propyzamide";"Pression de vapeur";"1,57x10^-3";"Pa";45;"";""
"23950-58-5";"propyzamide";"Solubilité dans l'eau";"9.1";"mg/L";20;"4";""
"23950-58-5";"propyzamide";"Solubilité dans l'eau";"9.0";"mg/L";20;"7";""
"23950-58-5";"propyzamide";"Solubilité dans l'eau";"8.5";"mg/L";20;"9 à 11";""
"189278-12-4 ";"proquinazid";"Constante de Henry";"3 x e-2";"Pa.m3/mol";25;"";""
"189278-12-4 ";"proquinazid";"Log P";"5,5";"";25;"";""
"189278-12-4 ";"proquinazid";"pka";"";"";;"";""
"189278-12-4 ";"proquinazid";"Pression de vapeur";"9 x e-5";"Pa";25;"";""
"189278-12-4 ";"proquinazid";"Solubilité dans l'eau";"0.73";"mg/L";25;"";""
"189278-12-4 ";"proquinazid";"Solubilité dans l'eau";"0.93";"mg/L";25;"7";""
"189278-12-4 ";"proquinazid";"Solubilité dans l'eau";"0.97";"mg/L";25;"";""
"52888-80-9";"prosulfocarbe";"Constante de Henry";"1,52 x10^-2";"Pa.m3/mol";20;"";""
"52888-80-9";"prosulfocarbe";"Log P";"4,48";"";30;"7,5";""
"52888-80-9";"prosulfocarbe";"pka";"";"";;"";""
"52888-80-9";"prosulfocarbe";"Pression de vapeur";"0,79";"mPa";20;"";""
"52888-80-9";"prosulfocarbe";"Solubilité dans l'eau";"13,0";"mg/L";20;"6,1";""
"94125-34-5";"prosulfuron";"Constante de Henry";"<3 x10^-4";"Pa.m3/mol";25;"";""
"94125-34-5";"prosulfuron";"Log P";"1,5";"";25;"5";""
"94125-34-5";"prosulfuron";"Log P";"-0,76";"";25;"9";""
"94125-34-5";"prosulfuron";"Log P";"-0,21";"";25;"6";""
"94125-34-5";"prosulfuron";"pka";"3,76";"";20;"";""
"94125-34-5";"prosulfuron";"Pression de vapeur";"<3.5 x10^-6";"Pa";25;"";""
"94125-34-5";"prosulfuron";"Solubilité dans l'eau";"87";"mg/L";25;"5";""
"94125-34-5";"prosulfuron";"Solubilité dans l'eau";"43";"g/L";25;"7,7";""
"94125-34-5";"prosulfuron";"Solubilité dans l'eau";"4000";"mg/L";25;"6,8";""
"178928-70-6";"prothioconazole";"Constante de Henry";"<3 e-5";"Pa.m3/mol";20;"";""
"178928-70-6";"prothioconazole";"Log P";"2";"";25;"9";""
"178928-70-6";"prothioconazole";"Log P";"4,16";"";25;"4";""
"178928-70-6";"prothioconazole";"Log P";"3,82";"";25;"7";""
"178928-70-6";"prothioconazole";"pka";"6,9";"";;"";""
"178928-70-6";"prothioconazole";"Pression de vapeur";"<0.4";"µPa";25;"";""
"178928-70-6";"prothioconazole";"Solubilité dans l'eau";"0.005";"g/L";20;"4";""
"178928-70-6";"prothioconazole";"Solubilité dans l'eau";"2";"g/L";20;"9";""
"178928-70-6";"prothioconazole";"Solubilité dans l'eau";"0.3";"g/L";20;"8";""
"175013-18-0";"pyraclostrobine";"Constante de Henry";"5.307 e-6";"Pa.m3/mol";20;"";""
"175013-18-0";"pyraclostrobine";"Log P";"3,99";"";20;"";""
"175013-18-0";"pyraclostrobine";"pka";"";"";;"";""
"175013-18-0";"pyraclostrobine";"Pression de vapeur";"26";"nPa";20;"";""
"175013-18-0";"pyraclostrobine";"Solubilité dans l'eau";"1.9";"mg/L";20;"5,8";""
"129630-19-9";"pyraflufen ethyl";"Constante de Henry";"2.2 e-5";"Pa.m3/mol";20;"";""
"129630-19-9";"pyraflufen ethyl";"Log P";"3,49";"";;"";""
"129630-19-9";"pyraflufen ethyl";"pka";"";"";;"";""
"129630-19-9";"pyraflufen ethyl";"Pression de vapeur";"4.3 e-9";"Pa";20;"";""
"129630-19-9";"pyraflufen ethyl";"Pression de vapeur";"1.6 e-8";"Pa";25;"";""
"129630-19-9";"pyraflufen ethyl";"Solubilité dans l'eau";"0.082";"mg/L";20;"6,5";""
"8003-34-7";"pyrethrines";"Constante de Henry";"7,19 10-5";"Pa.m3/mol";25;"";"pyrethrin 2"
"8003-34-7";"pyrethrines";"Constante de Henry";"7,83 10-2";"Pa.m3/mol";25;"";"pyrethrin 1"
"8003-34-7";"pyrethrines";"Pression de vapeur";"6,9 10-5";"Pa";25;"";"pyrethrin 1"
"8003-34-7";"pyrethrines";"Pression de vapeur";"2,7 10-5";"Pa";25;"";"pyrethrin 2"
"8003-34-7";"pyrethrines";"Pression de vapeur";"5,33 10-3";"Pa";;"";"cinerin I (biblio)"
"8003-34-7";"pyrethrines";"Solubilité dans l'eau";"10,7";"mg/L";22;"7";"pyrethrin 2"
"8003-34-7";"pyrethrines";"Solubilité dans l'eau";"0,96";"mg/L";22;"5";"pyrethrin 1"
"8003-34-7";"pyrethrines";"Solubilité dans l'eau";"0,57";"mg/L";22;"7";"pyrethrin 1"
"8003-34-7";"pyrethrines";"Solubilité dans l'eau";"0,44";"mg/L";22;"10";"pyrethrin 1"
"8003-34-7";"pyrethrines";"Solubilité dans l'eau";"7,9";"mg/L";22;"10";"pyrethrin 2"
"8003-34-7";"pyrethrines";"Solubilité dans l'eau";"8,2";"mg/L";22;"5";"pyrethrin 2"
"96489-71-3";"pyridabene";"Log P";"";"";;"";""
"96489-71-3";"pyridabene";"Log P";"6,37";"";23;"";""
"96489-71-3";"pyridabene";"Pression de vapeur";"2557";"µPa";20;"";""
"96489-71-3";"pyridabene";"Solubilité dans l'eau";"12";"ug/L";20;"";""
"55512-33-9";"pyridate";"Constante de Henry";"1.21 e-4";"Pa.m3/mol";20;"";""
"55512-33-9";"pyridate";"Log P";"0,5";"";22;"7";"CL 9673"
"55512-33-9";"pyridate";"Log P";"1,37";"";22;"6";"CL 9673"
"55512-33-9";"pyridate";"Log P";"1,85";"";22;"5";"CL 9673"
"55512-33-9";"pyridate";"pka";"5,33";"";23;"";""
"55512-33-9";"pyridate";"Pression de vapeur";"0.48";"µPa";20;"";""
"55512-33-9";"pyridate";"Pression de vapeur";"0.998";"µPa";25;"";""
"55512-33-9";"pyridate";"Solubilité dans l'eau";"1.49";"mg/L";20;"7";""
"55512-33-9";"pyridate";"Solubilité dans l'eau";"0.37";"mg/L";;"3";""
"53112-28-0";"pyrimethanil";"Constante de Henry";"0.0036";"Pa.m3/mol";;"";""
"53112-28-0";"pyrimethanil";"Log P";"3";"";;"";""
"53112-28-0";"pyrimethanil";"pka";"3,52";"";20;"";""
"53112-28-0";"pyrimethanil";"Pression de vapeur";"1.1";"mPa";20;"";""
"53112-28-0";"pyrimethanil";"Solubilité dans l'eau";"0.121";"g/L";25;"6,1";""
"53112-28-0";"pyrimethanil";"Solubilité dans l'eau";"0.099";"g/L";20;"9,9";""
"53112-28-0";"pyrimethanil";"Solubilité dans l'eau";"0.160";"g/L";20;"4,2";""
"23103-98-2";"pyrimicarbe";"Constante de Henry";"2.9x10^-5";"Pa.m3/mol";20;"5,2";""
"23103-98-2";"pyrimicarbe";"Constante de Henry";"3.3x10^-5";"Pa.m3/mol";20;"7,4";""
"23103-98-2";"pyrimicarbe";"Constante de Henry";"3.3x10^-5";"Pa.m3/mol";20;"9,3";""
"23103-98-2";"pyrimicarbe";"Constante de Henry";"3.6x10^-5";"Pa.m3/mol";20;"";""
"23103-98-2";"pyrimicarbe";"Log P";"1,1";"";;"3,9";""
"23103-98-2";"pyrimicarbe";"Log P";"1,7";"";;"7,1";""
"23103-98-2";"pyrimicarbe";"Log P";"1,7";"";;"";""
"23103-98-2";"pyrimicarbe";"pka";"4,44";"";20;"";""
"23103-98-2";"pyrimicarbe";"Pression de vapeur";"4.3 e-4";"Pa";20;"";""
"23103-98-2";"pyrimicarbe";"Solubilité dans l'eau";"3000";"mg/L";;"";""
"23103-98-2";"pyrimicarbe";"Solubilité dans l'eau";"3100";"mg/L";;"7,4";""
"23103-98-2";"pyrimicarbe";"Solubilité dans l'eau";"3100";"mg/L";;"9,3";""
"23103-98-2";"pyrimicarbe";"Solubilité dans l'eau";"3600";"mg/L";;"5,2";""
"29232-93-7";"pyrimiphos-methyl";"Constante de Henry";"0.06";"Pa.m3/mol";;"";""
"29232-93-7";"pyrimiphos-methyl";"Log P";"4,2";"";20;"5 à 7";""
"29232-93-7";"pyrimiphos-methyl";"Log P";"3,9";"";20;"4";""
"29232-93-7";"pyrimiphos-methyl";"pka";"4,3";"";20;"";""
"29232-93-7";"pyrimiphos-methyl";"Pression de vapeur";"2";"mPa";20;"";""
"29232-93-7";"pyrimiphos-methyl";"Solubilité dans l'eau";"10";"mg/L";;"5 à 7";""
"29232-93-7";"pyrimiphos-methyl";"Solubilité dans l'eau";"10";"mg/L";;"9";""
"688046-61-9";"pyriofénone";"Constante de Henry";"1,9 10-4";"Pa.m3/mol";;"";""
"688046-61-9";"pyriofénone";"Log P";"3,2";"";20;"7";""
"688046-61-9";"pyriofénone";"pka";"";"";;"";""
"688046-61-9";"pyriofénone";"Pression de vapeur";"1,9";"µPa";25;"";""
"688046-61-9";"pyriofénone";"Solubilité dans l'eau";"1,56";"mg/L";20;"6,6";""
"95737-68-1";"pyriproxyfen";"Constante de Henry";"<7.37*10^-02";"Pa.m3/mol";23;"";""
"95737-68-1";"pyriproxyfen";"Log P";"+4,85";"";25;"5";""
"95737-68-1";"pyriproxyfen";"Log P";"+4,86";"";25;"7";""
"95737-68-1";"pyriproxyfen";"Log P";"+4,87";"";25;"9";""
"95737-68-1";"pyriproxyfen";"Pression de vapeur";"<1.33*10^-05";"Pa";23;"";""
"95737-68-1";"pyriproxyfen";"Solubilité dans l'eau";"0.058";"mg/L";20;"5";""
"95737-68-1";"pyriproxyfen";"Solubilité dans l'eau";"0.119";"mg/L";20;"9";""
"95737-68-1";"pyriproxyfen";"Solubilité dans l'eau";"0.101";"mg/L";20;"7";""
"422556-08-9";"pyroxsulame";"Constante de Henry";"6.94 10-7";"Pa.m3/mol";;"";""
"422556-08-9";"pyroxsulame";"Log P";"-1,01";"";20;"7";""
"422556-08-9";"pyroxsulame";"Log P";"-1,6";"";20;"9";""
"422556-08-9";"pyroxsulame";"Log P";"1,08";"";20;"4";""
"422556-08-9";"pyroxsulame";"pka";"4,67";"";20;"";""
"422556-08-9";"pyroxsulame";"Pression de vapeur";"< 1 10-7";"Pa";20;"";""
"422556-08-9";"pyroxsulame";"Solubilité dans l'eau";"0.0164";"g/L";20;"4";""
"422556-08-9";"pyroxsulame";"Solubilité dans l'eau";"3.20";"g/L";20;"7";""
"422556-08-9";"pyroxsulame";"Solubilité dans l'eau";"13.7";"g/L";20;"9";""
"90717-03-6";"Quinmerac";"Constante de Henry";"1x10^-10";"Pa.m3/mol";;"";""
"90717-03-6";"Quinmerac";"Log P";"-1,41";"";21;"7";""
"90717-03-6";"Quinmerac";"Log P";"1,17";"";21;"4";""
"90717-03-6";"Quinmerac";"Log P";"-4,41";"";21;"10";""
"90717-03-6";"Quinmerac";"pka";"4,29";"";25;"";""
"90717-03-6";"Quinmerac";"pka";"4,31";"";20;"";""
"90717-03-6";"Quinmerac";"Pression de vapeur";"1x10^-10";"Pa";20;"";""
"90717-03-6";"Quinmerac";"Solubilité dans l'eau";"213";"mg/L";20;"3,7";""
"90717-03-6";"Quinmerac";"Solubilité dans l'eau";"157";"g/L";20;"11";""
"90717-03-6";"Quinmerac";"Solubilité dans l'eau";"107";"g/L";20;"7";""
"2797-51-5";"quinoclamine";"Constante de Henry";"3.05 10-5";"Pa.m3/mol";;"";""
"2797-51-5";"quinoclamine";"Log P";"1,58";"";30;"11";""
"2797-51-5";"quinoclamine";"pka";"";"";;"";""
"2797-51-5";"quinoclamine";"Pression de vapeur";"7 10-6";"Pa";25;"";""
"2797-51-5";"quinoclamine";"Pression de vapeur";"3 10-6";"Pa";20;"";""
"2797-51-5";"quinoclamine";"Solubilité dans l'eau";"20.7";"mg/L";20;"4";""
"2797-51-5";"quinoclamine";"Solubilité dans l'eau";"19.8";"mg/L";20;"8,5";""
"2797-51-5";"quinoclamine";"Solubilité dans l'eau";"20.7";"mg/L";20;"9";""
"100646-51-3";"quizalofop-P-ethyl";"Constante de Henry";"6,7 x10^-5";"Pa.m3/mol";20;"";""
"100646-51-3";"quizalofop-P-ethyl";"Log P";"4,61";"";23;"";""
"100646-51-3";"quizalofop-P-ethyl";"pka";"";"";;"";""
"100646-51-3";"quizalofop-P-ethyl";"Pression de vapeur";"0,11";"µPa";20;"";""
"100646-51-3";"quizalofop-P-ethyl";"Solubilité dans l'eau";"0,61";"mg/L";20;"";""
"122931-48-0";"rimsulfuron";"Constante de Henry";"1.1 e-7";"Pa.m3/mol";25;"9";""
"122931-48-0";"rimsulfuron";"Constante de Henry";"4.6 e-6";"Pa.m3/mol";25;"5";""
"122931-48-0";"rimsulfuron";"Constante de Henry";"8.3 e-8";"Pa.m3/mol";25;"7";""
"122931-48-0";"rimsulfuron";"Log P";"-1,46";"";25;"7";""
"122931-48-0";"rimsulfuron";"Log P";"0,288";"";25;"5";""
"122931-48-0";"rimsulfuron";"pka";"4";"";;"";""
"122931-48-0";"rimsulfuron";"Pression de vapeur";"8.9 e-7";"Pa";20;"";""
"122931-48-0";"rimsulfuron";"Solubilité dans l'eau";"23.5";"g/L";20;"";""
"122931-48-0";"rimsulfuron";"Solubilité dans l'eau";"5.56";"g/L";25;"9";""
"122931-48-0";"rimsulfuron";"Solubilité dans l'eau";"7.3";"g/L";25;"7";""
"122931-48-0";"rimsulfuron";"Solubilité dans l'eau";"0.135";"g/L";25;"5";""
"874967-67-6";"sedaxane";"Constante de Henry";"4.0 X e-6";"Pa.m3/mol";25;"";""
"874967-67-6";"sedaxane";"Log P";"+3,3";"";25;"";""
"874967-67-6";"sedaxane";"pka";"";"";;"";""
"874967-67-6";"sedaxane";"Pression de vapeur";"0.17";"µPa";25;"";""
"874967-67-6";"sedaxane";"Pression de vapeur";"0.065";"µPa";20;"";""
"874967-67-6";"sedaxane";"Solubilité dans l'eau";"14";"mg/L";25;"";""
"175217-20-6";"silthiofam";"Constante de Henry";"0.54";"Pa.m3/mol";;"";""
"175217-20-6";"silthiofam";"Log P";"3,72";"";20;"";""
"175217-20-6";"silthiofam";"pka";"";"";;"";""
"175217-20-6";"silthiofam";"Pression de vapeur";"8,1x10^-2";"Pa";20;"";""
"175217-20-6";"silthiofam";"Solubilité dans l'eau";"40";"ug/L";20;"";""
"130561-48-7";"sintofen";"Constante de Henry";"7.28x10^-8";"Pa.m3/mol";20;"4";""
"130561-48-7";"sintofen";"Constante de Henry";"1.84x10^-10";"Pa.m3/mol";20;"9";""
"130561-48-7";"sintofen";"Constante de Henry";"1.64x10^-10";"Pa.m3/mol";20;"7";""
"130561-48-7";"sintofen";"Log P";"-1,4";"";20;"9";""
"130561-48-7";"sintofen";"Log P";"0,8";"";20;"4";""
"130561-48-7";"sintofen";"Log P";"-1";"";20;"7";""
"130561-48-7";"sintofen";"pka";"4,92";"";;"";""
"130561-48-7";"sintofen";"Pression de vapeur";"1.2x10^-9";"Pa";25;"";""
"130561-48-7";"sintofen";"Pression de vapeur";"3.5x10^-10";"Pa";20;"";""
"130561-48-7";"sintofen";"Solubilité dans l'eau";"0.8";"g/L";20;"7";""
"130561-48-7";"sintofen";"Solubilité dans l'eau";"1.764";"mg/L";20;"4";""
"130561-48-7";"sintofen";"Solubilité dans l'eau";"7.45";"g/L";20;"9";""
"87392-12-9";"s-metolachlore";"Constante de Henry";"2.2 e-3";"Pa.m3/mol";25;"";""
"87392-12-9";"s-metolachlore";"Log P";"3,05";"";25;"7";""
"87392-12-9";"s-metolachlore";"pka";"";"";;"";""
"87392-12-9";"s-metolachlore";"Pression de vapeur";"3.7";"mPa";25;"";""
"87392-12-9";"s-metolachlore";"Solubilité dans l'eau";"480";"mg/L";25;"7,3";""
"7704-34-9";"soufre";"Constante de Henry";"0.05";"Pa.m3/mol";20;"";""
"7704-34-9";"soufre";"pka";"";"";;"";""
"7704-34-9";"soufre";"Pression de vapeur";"0.98";"µPa";20;"";""
"7704-34-9";"soufre";"Solubilité dans l'eau";"63";"ug/L";20;"";""
"935545-74-7 (Spinetoram)";"spinetoram";"Constante de Henry";"9,8x10-3";"Pa.m3/mol";;"5";"XDE-175-L"
"935545-74-7 (Spinetoram)";"spinetoram";"Constante de Henry";"9,4x10-5";"Pa.m3/mol";;"5";"XDE-175-J"
"935545-74-7 (Spinetoram)";"spinetoram";"Constante de Henry";"6,3x10-3";"Pa.m3/mol";;"10";"XDE-175-J"
"935545-74-7 (Spinetoram)";"spinetoram";"Constante de Henry";"5,0x10-4";"Pa.m3/mol";;"";"XDE-175-L"
"935545-74-7 (Spinetoram)";"spinetoram";"Constante de Henry";"3,5x10-3";"Pa.m3/mol";;"7";"XDE-175-J"
"935545-74-7 (Spinetoram)";"spinetoram";"Constante de Henry";"3,4x10-4";"Pa.m3/mol";;"7";"XDE-175-L"
"935545-74-7 (Spinetoram)";"spinetoram";"Constante de Henry";"2,3x10-2";"Pa.m3/mol";;"10";"XDE-175-L"
"935545-74-7 (Spinetoram)";"spinetoram";"Constante de Henry";"4,0x10-3";"Pa.m3/mol";;"";"XDE-175-J"
"935545-74-7 (Spinetoram)";"spinetoram";"Log P";"4,22";"";20;"9";"XDE-175-J"
"935545-74-7 (Spinetoram)";"spinetoram";"Log P";"2,44";"";20;"5";"XDE-175-J"
"935545-74-7 (Spinetoram)";"spinetoram";"Log P";"2,94";"";20;"5";"XDE-175-L"
"935545-74-7 (Spinetoram)";"spinetoram";"Log P";"4,09";"";20;"7";"XDE-175-J"
"935545-74-7 (Spinetoram)";"spinetoram";"Log P";"4,49";"";20;"7";"XDE-175-L"
"935545-74-7 (Spinetoram)";"spinetoram";"Log P";"4,82";"";20;"9";"XDE-175-L"
"935545-74-7 (Spinetoram)";"spinetoram";"pka";"7,86";"";25;"";"XDE-175-J"
"935545-74-7 (Spinetoram)";"spinetoram";"pka";"7,59";"";25;"";"XDE-175-L"
"935545-74-7 (Spinetoram)";"spinetoram";"Pression de vapeur";"6,0x10-5";"Pa";25;"";"XDE-175-J"
"935545-74-7 (Spinetoram)";"spinetoram";"Pression de vapeur";"2,1x10-5";"Pa";20;"";"XDE-175-L"
"935545-74-7 (Spinetoram)";"spinetoram";"Pression de vapeur";"4,2x10-5";"Pa";25;"";"XDE-175-L"
"935545-74-7 (Spinetoram)";"spinetoram";"Pression de vapeur";"5,3x10-5";"Pa";20;"";"XDE-175-J"
"935545-74-7 (Spinetoram)";"spinetoram";"Solubilité dans l'eau";"6,27";"mg/L";20;"10";"XDE-175-J"
"935545-74-7 (Spinetoram)";"spinetoram";"Solubilité dans l'eau";"0,71";"mg/L";20;"10";"XDE-175-L"
"935545-74-7 (Spinetoram)";"spinetoram";"Solubilité dans l'eau";"1,63";"g/L";20;"5";"XDE-175-L"
"935545-74-7 (Spinetoram)";"spinetoram";"Solubilité dans l'eau";"1,98";"mg/L";20;"9";"XDE-175-L"
"935545-74-7 (Spinetoram)";"spinetoram";"Solubilité dans l'eau";"10";"mg/L";20;"";"XDE-175-J"
"935545-74-7 (Spinetoram)";"spinetoram";"Solubilité dans l'eau";"11,3";"mg/L";20;"7";"XDE-175-J"
"935545-74-7 (Spinetoram)";"spinetoram";"Solubilité dans l'eau";"31,9";"mg/L";20;"";"XDE-175-L"
"935545-74-7 (Spinetoram)";"spinetoram";"Solubilité dans l'eau";"423";"mg/L";20;"5";"XDE-175-J"
"935545-74-7 (Spinetoram)";"spinetoram";"Solubilité dans l'eau";"46,7";"mg/L";20;"7";"XDE-175-L"
"168316-95-8";"spinosad";"Constante de Henry";"1.89 e-7";"Pa.m3/mol";;"";"SPINOSAD A"
"168316-95-8";"spinosad";"Constante de Henry";"2.32 e-5";"Pa.m3/mol";;"";"SPINOSAD D"
"168316-95-8";"spinosad";"Log P";"5,21";"";23;"9";"SPINOSAD D"
"168316-95-8";"spinosad";"Log P";"2,78";"";23;"5";"SPINOSAD A"
"168316-95-8";"spinosad";"Log P";"3,23";"";23;"5";"SPINOSAD D"
"168316-95-8";"spinosad";"Log P";"4,01";"";23;"7";"SPINOSAD A"
"168316-95-8";"spinosad";"Log P";"5,16";"";23;"9";"SPINOSAD A"
"168316-95-8";"spinosad";"Log P";"4,53";"";23;"7";"SPINOSAD D"
"168316-95-8";"spinosad";"pka";"7,87";"";20;"";"SPINOSAD D"
"168316-95-8";"spinosad";"pka";"8,1";"";20;"";"SPINOSAD A"
"168316-95-8";"spinosad";"Pression de vapeur";"20";"nPa";25;"";"SPINOSAD D"
"168316-95-8";"spinosad";"Pression de vapeur";"30";"nPa";25;"";"SPINOSAD A"
