numero AMM;nom produit;Libellé court phrase de risque ;Libellé long phrase de risque;
2020013;BRONCO;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2020013;BRONCO;H319;Provoque une sévère irritation des yeux;
2020013;BRONCO;H332;Nocif par inhalation;
2020013;BRONCO;H336;Peut provoquer somnolence ou des vertiges;
2020013;BRONCO;H361d;Susceptible de nuire au foetus;
2020013;BRONCO;H400;Très toxique pour les organismes aquatiques;
2020013;BRONCO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2020013;BRONCO;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
2020013;BRONCO;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2020013;BRONCO;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9100557;FORUM;H302;Nocif en cas d'ingestion;
9100557;FORUM;H318;Provoque des lésions oculaires graves;
9100557;FORUM;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2140127;PAJO;H302;Nocif en cas d'ingestion;
2140127;PAJO;H317;Peut provoquer une allergie cutanée;
2140127;PAJO;H361fd;Susceptible de nuire à la fertilité. Susceptible de nuire au foetus;
2140127;PAJO;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2140127;PAJO;H400;Très toxique pour les organismes aquatiques;
2140127;PAJO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2140127;PAJO;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
8700408;DAM;H302;Nocif en cas d'ingestion;
8700408;DAM;H318;Provoque des lésions oculaires graves;
8700408;DAM;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9500649;MIKAL FLASH;H252;Matière auto-échauffante en grandes quantités. peut s'enflammer;
9500649;MIKAL FLASH;H317;Peut provoquer une allergie cutanée;
9500649;MIKAL FLASH;H319;Provoque une sévère irritation des yeux;
9500649;MIKAL FLASH;H351;Susceptible de provoquer le cancer;
9500649;MIKAL FLASH;H400;Très toxique pour les organismes aquatiques;
2010030;MEDAX TOP;H302;Nocif en cas d'ingestion;
2010030;MEDAX TOP;H319;Provoque une sévère irritation des yeux;
9700446;NEBRASKA;H318;Provoque des lésions oculaires graves;
9700446;NEBRASKA;H361d;Susceptible de nuire au foetus;
9700446;NEBRASKA;H400;Très toxique pour les organismes aquatiques;
9700446;NEBRASKA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9700446;NEBRASKA;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
9700446;NEBRASKA;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2040199;GOLTIX 70 UD;H302;Nocif en cas d'ingestion;
2040199;GOLTIX 70 UD;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2040199;GOLTIX 70 UD;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9400202;PHOSTOXIN BAG BLANKET;H260;Dégage, au contact de l'eau, des gaz inflammables qui peuvent s'enflammer spontanément;
9400202;PHOSTOXIN BAG BLANKET;H300;Mortel en cas d'ingestion;
9400202;PHOSTOXIN BAG BLANKET;H311;Toxique par contact cutané;
9400202;PHOSTOXIN BAG BLANKET;H330;Mortel par inhalation;
9400202;PHOSTOXIN BAG BLANKET;H400;Très toxique pour les organismes aquatiques;
9900047;CALLISTO;H319;Provoque une sévère irritation des yeux;
9900047;CALLISTO;H361d;Susceptible de nuire au foetus;
9900047;CALLISTO;H400;Très toxique pour les organismes aquatiques;
9900047;CALLISTO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9900037;CONSIST;H317;Peut provoquer une allergie cutanée;
9900037;CONSIST;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2140060;AVOCA PREMIUM;H317;Peut provoquer une allergie cutanée;
2140060;AVOCA PREMIUM;H319;Provoque une sévère irritation des yeux;
2140060;AVOCA PREMIUM;H332;Nocif par inhalation;
2140060;AVOCA PREMIUM;H335;Peut irriter les voies respiratoires;
2140060;AVOCA PREMIUM;H351;Susceptible de provoquer le cancer;
2140060;AVOCA PREMIUM;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2130054;BANNER MAXX II;H302;Nocif en cas d'ingestion;
2130054;BANNER MAXX II;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2130054;BANNER MAXX II;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2130054;BANNER MAXX II;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2120014;BARCLAY PROPIZOLE;H302;Nocif en cas d'ingestion;
2120014;BARCLAY PROPIZOLE;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2120014;BARCLAY PROPIZOLE;H315;Provoque une irritation cutanée;
2120014;BARCLAY PROPIZOLE;H317;Peut provoquer une allergie cutanée;
2120014;BARCLAY PROPIZOLE;H336;Peut provoquer somnolence ou des vertiges;
2120014;BARCLAY PROPIZOLE;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
2120014;BARCLAY PROPIZOLE;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
8500160;BRAVO PREMIUM;H317;Peut provoquer une allergie cutanée;
8500160;BRAVO PREMIUM;H319;Provoque une sévère irritation des yeux;
8500160;BRAVO PREMIUM;H332;Nocif par inhalation;
8500160;BRAVO PREMIUM;H335;Peut irriter les voies respiratoires;
8500160;BRAVO PREMIUM;H351;Susceptible de provoquer le cancer;
8500160;BRAVO PREMIUM;H400;Très toxique pour les organismes aquatiques;
8500160;BRAVO PREMIUM;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8500160;BRAVO PREMIUM;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
8500160;BRAVO PREMIUM;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9800384;BUMPER;H400;Très toxique pour les organismes aquatiques;
9800384;BUMPER;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9800384;BUMPER;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
9800384;BUMPER;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9600201;BUMPER P;H319;Provoque une sévère irritation des yeux;
9600201;BUMPER P;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9600201;BUMPER P;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
9600201;BUMPER P;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2110177;CHEROKEE;H317;Peut provoquer une allergie cutanée;
2110177;CHEROKEE;H319;Provoque une sévère irritation des yeux;
2110177;CHEROKEE;H332;Nocif par inhalation;
2110177;CHEROKEE;H335;Peut irriter les voies respiratoires;
2110177;CHEROKEE;H351;Susceptible de provoquer le cancer;
2110177;CHEROKEE;H361d;Susceptible de nuire au foetus;
2110177;CHEROKEE;H400;Très toxique pour les organismes aquatiques;
9500107;COGITO;H319;Provoque une sévère irritation des yeux;
9500107;COGITO;H361d;Susceptible de nuire au foetus;
9500107;COGITO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9200022;MELTOP 500;H315;Provoque une irritation cutanée;
9200022;MELTOP 500;H318;Provoque des lésions oculaires graves;
9200022;MELTOP 500;H332;Nocif par inhalation;
9200022;MELTOP 500;H335;Peut irriter les voies respiratoires;
9200022;MELTOP 500;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
9200022;MELTOP 500;H400;Très toxique pour les organismes aquatiques;
9200022;MELTOP 500;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8700621;POLYFLOR FONGICIDE ROSIERS;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8700621;POLYFLOR FONGICIDE ROSIERS;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
8700621;POLYFLOR FONGICIDE ROSIERS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2160611;POLYFLOR JARDIN;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2160611;POLYFLOR JARDIN;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2160611;POLYFLOR JARDIN;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2210322;DARAMUN;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2210322;DARAMUN;EUH208;Contient de la 1,2-benzisothiazol-3(2H)-one. Peut produire une réaction allergique;
2130254;BEETUP COMPACT;H315;Provoque une irritation cutanée;
2130254;BEETUP COMPACT;H317;Peut provoquer une allergie cutanée;
2130254;BEETUP COMPACT;H319;Provoque une sévère irritation des yeux;
2130254;BEETUP COMPACT;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2130254;BEETUP COMPACT;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2100157;BETANAL MOBILIS;H317;Peut provoquer une allergie cutanée;
2100157;BETANAL MOBILIS;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2040310;GALACTICA;H318;Provoque des lésions oculaires graves;
2040310;GALACTICA;H361d;Susceptible de nuire au foetus;
2040310;GALACTICA;H400;Très toxique pour les organismes aquatiques;
2040310;GALACTICA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2040310;GALACTICA;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2040310;GALACTICA;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2060114;MENARA;H319;Provoque une sévère irritation des yeux;
2060114;MENARA;H360Df;Peut nuire au foetus. Susceptible de nuire à la fertilité;
2060114;MENARA;H400;Très toxique pour les organismes aquatiques;
2060114;MENARA;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2210328;LS MEPIQ-METCO;H302;Nocif en cas d'ingestion;
2210328;LS MEPIQ-METCO;H317;Peut provoquer une allergie cutanée;
2210328;LS MEPIQ-METCO;H318;Provoque des lésions oculaires graves;
2210328;LS MEPIQ-METCO;H332;Nocif par inhalation;
2210328;LS MEPIQ-METCO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2180257;ISOMATE-P;H315;Provoque une irritation cutanée;
2180257;ISOMATE-P;H317;Peut provoquer une allergie cutanée;
2180257;ISOMATE-P;H411;Toxique pour les organismes aquatiques, entraîne des effets à long terme;
9500017;KALACH;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9300050;KOMANDO ALLEES PRET A L'EMPLOI;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2171050;AFFIRM OPTI;H400;Très toxique pour les organismes aquatiques;
2171050;AFFIRM OPTI;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
8600330;BONZI;H400;Très toxique pour les organismes aquatiques;
2060088;CAMIX;H315;Provoque une irritation cutanée;
2060088;CAMIX;H317;Peut provoquer une allergie cutanée;
2060088;CAMIX;H319;Provoque une sévère irritation des yeux;
2060088;CAMIX;H400;Très toxique pour les organismes aquatiques;
2060088;CAMIX;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2060088;CAMIX;EUH208;Contient (nom de la substance sensibilisante). Peut produire une réaction allergique;
2060088;CAMIX;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9800236;MISSILE PJT;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2090043;OURAGAN EV;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2090044;OURAGAN PJT;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9900387;OXALIS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2010138;OXALIS JARDIN;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2120016;ROUNDUP GEL PLUS;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2180309;ANGELUS;H315;Provoque une irritation cutanée;
2180309;ANGELUS;H319;Provoque une sévère irritation des yeux;
2180309;ANGELUS;H332;Nocif par inhalation;
2180581;GARANCE 250 EC;H302;Nocif en cas d'ingestion;
2180581;GARANCE 250 EC;H304;Peut être mortel en cas d'ingestion et de pénétration dans les voies respiratoires;
2180581;GARANCE 250 EC;H319;Provoque une sévère irritation des yeux;
2180581;GARANCE 250 EC;H373;Risque présumé d'effets graves pour les organes à la suite d'expositions répétées ou d'une exposition prolongée;
2180581;GARANCE 250 EC;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2180581;GARANCE 250 EC;EUH066;L'exposition répétée peut provoquer dessèchement ou gerçures de la peau;
2180367;NET-HERBE PAE;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2180335;PRIMO MAXX II;H317;Peut provoquer une allergie cutanée;
2180335;PRIMO MAXX II;H332;Nocif par inhalation;
2180335;PRIMO MAXX II;H412;Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme;
2010525;METRIPHAR 70 WG;H302;Nocif en cas d'ingestion;
2010525;METRIPHAR 70 WG;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9700216;CONFIDOR J;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
9700216;CONFIDOR J;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
2020234;HELITOX QDX;H318;Provoque des lésions oculaires graves;
2020234;HELITOX QDX;EUH401;Respecter les instructions d'utilisation pour éviter les risques pour la santé humaine et l'environnement;
9100438;MILAGRO;H225;Liquides et vapeurs très inflammables;
9100438;MILAGRO;H302;Nocif en cas d'ingestion;
9100438;MILAGRO;H314;Provoque des brûlures de la peau et des lésions oculaires graves;
9100438;MILAGRO;H400;Très toxique pour les organismes aquatiques;
9100438;MILAGRO;H410;Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme;
